SID,SEM 1,SEM 2,SEM 3,SEM 4,SEM 5,SEM 6,SEM 7,SEM 8
ID00001,9.31,7.27,7.94,6.9,9.39,7.9,6.61,7.99
ID00002,8.27,8.59,8.81,9.54,6.93,8.66,7.61,7.43
ID00003,9.15,8.86,7.86,8.62,7.59,9.26,7.04,8.23
ID00004,9.05,7.37,8.57,9.51,9.06,8.13,9.71,8.6
ID00005,8.98,7.03,8.05,7.19,8.96,9.4,8.7,8.27
ID00006,8.19,7.45,7.15,6.81,8.86,9.32,8.76,8.24
ID00007,8.53,7.72,8.62,7.26,8.82,8.18,9.12,7.63
ID00008,8.2,7.43,7.25,7.74,9.5,8.89,8.23,7.3
ID00009,8.74,8.35,8.45,6.93,8,6.64,8.37,8.32
ID00010,8.56,7.99,6.85,8.38,8.93,8.95,7.1,8.67
ID00011,8.25,9.02,7.34,6.94,8.01,9.56,8.14,6.96
ID00012,9.67,8.18,7.87,7.87,8.11,6.66,8.75,9.4
ID00013,8.35,9.45,7.69,8.9,8.8,9.44,7.33,7.89
ID00014,7.99,7.23,9.02,7.24,9.4,8.12,6.81,9.46
ID00015,7.86,7.78,7.91,7.53,8.59,8.48,8.73,9.12
ID00016,7.29,8.61,7.41,7.95,9.13,8.26,7.05,7.71
ID00017,7.57,8.82,8.91,8.14,6.62,6.91,7.78,8.7
ID00018,6.63,7.48,7.14,8.07,8.35,9.56,8.03,7.1
ID00019,9.1,8.9,6.62,7.22,7.91,6.73,8.55,9.75
ID00020,8.49,9.1,7.2,7.22,7.34,8.06,8.28,9.5
ID00021,9.25,7.06,8.4,6.99,7.96,9.62,8.69,9.75
ID00022,9.09,8.8,9.18,9.77,8.31,9.52,9.41,8.88
ID00023,8.12,7.38,8.43,7.83,7.36,9.38,8.84,7.93
ID00024,7.13,7.44,8.32,7.86,8.11,7.87,7.7,6.74
ID00025,9.01,7.6,7.57,9.54,9.08,7.87,6.77,8.97
ID00026,6.85,7.63,8.55,8.64,7.03,7.24,8.23,9.65
ID00027,8.33,8.15,7.28,6.79,9.64,7.31,6.66,9.13
ID00028,8.8,8.11,9.34,7.94,7.22,8.44,8.01,7.04
ID00029,8.12,8.68,7.29,7.92,8.21,9.71,9.64,6.77
ID00030,7.3,8.98,7.65,9.11,9.72,9.09,7.57,7.12
ID00031,9.01,6.97,7.6,9.7,7.57,6.67,7.57,6.94
ID00032,7.4,8.37,8.82,8.69,7.43,7.45,8.23,6.6
ID00033,8.31,8.66,8.46,7.35,8.99,9.09,6.86,6.93
ID00034,6.79,8.49,6.79,6.65,8.95,8.12,8.13,6.66
ID00035,9.56,8.8,9.4,7.07,6.69,6.64,8.65,8.62
ID00036,7.27,9.12,8.21,7.8,7.93,8.97,8.85,8.18
ID00037,8.71,6.7,9.27,9.15,6.71,9.46,8.71,7.1
ID00038,7.48,9.4,9.57,7.21,7.4,7.22,7.33,9.43
ID00039,7.2,7.77,7.32,7.94,7.61,9.14,8.7,8.89
ID00040,7.16,6.69,7.47,7.22,8.56,9.28,7.24,8.32
ID00041,9.49,6.66,8.04,8.38,8.9,9.1,9.43,7.39
ID00042,6.98,7.19,8.3,9.31,8.97,9.12,6.66,7.87
ID00043,8.92,7.4,8.93,8.12,9.71,8.25,9.7,8.96
ID00044,7.15,7.69,8.89,8.9,7.76,8.32,7.65,8.18
ID00045,7.01,8.65,6.74,8.95,7.01,7.64,8.1,7.8
ID00046,7.47,9.53,9.07,7.92,7.14,9.61,6.77,7.62
ID00047,8.6,7.05,9.6,7.75,7.67,8.15,9.09,7.32
ID00048,7.78,8.55,9.25,7.48,9.72,9.52,9.5,8.33
ID00049,7.86,8.33,8.45,7.48,7.35,9.57,6.73,9.45
ID00050,9.11,8.41,9.13,7.59,7.68,9.79,9.72,6.77
ID00051,8.85,8.86,6.91,7.31,8.17,8.42,9.53,7.83
ID00052,9.16,8.96,8.05,7.36,9.5,9.37,7.87,7.34
ID00053,7.3,9.29,8.49,8.49,9.15,8.32,8.07,7.34
ID00054,8.73,7.08,7.24,6.93,7.78,8.01,8.79,8.25
ID00055,7.63,8.27,8.46,6.64,8.18,9.22,9.27,9.19
ID00056,8.81,8.19,7.39,8.15,7.29,8.82,8.78,7.31
ID00057,6.8,7.05,8.21,9.66,9.07,9.64,8.46,9.42
ID00058,6.69,7.37,7.58,9.09,6.79,9.22,9.12,7.97
ID00059,7.65,8.89,9.79,6.68,7.21,9.54,8.28,9.52
ID00060,7.79,6.88,8.03,9.72,7.61,7.89,6.74,7.15
ID00061,8.61,7.56,7.54,6.78,9.42,9.3,8.51,8.18
ID00062,8.43,6.98,9.71,7.79,9.58,9.68,7.35,7.87
ID00063,7.89,7.27,8.96,7.35,9.58,9.2,8.47,7.27
ID00064,9.69,8.84,9.13,7.76,6.8,8.68,6.69,8.47
ID00065,8.79,8.1,7.28,8.11,7.76,9.47,7.72,7.62
ID00066,7.93,9.48,7.45,9.52,9.6,8.11,6.81,7.7
